N	Somos los españoles cómplices de que gobierne el PP NO. Son sus cerca de 8 millones de votantes, de los más de 34 millones censados 
P	@chino_padrino gracias, igual para ti, feliz navidad
NEU	Tanto quería trabajar, madruga pues madrugaaa hdjahsjsf
NEU	@RAMMS09 amigo como estas ? Buenos días perdón ayer me fui a dormir
P	@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción 
P	@llillitto @CarreraCSIC @TrofeoJose_Cano @correporsiria @mediodemadrid @MitinAtletismo @nortevssur1 gracias  me lo paso genial haciéndolo!
P	@junchyg16 Bueno me dejas un poquito màs contenta gracias
P	@solucionesong ...genial iniciativa que nos puede ayudar
P	@Realba74 @InterSerEd genial Rebeca !! Este era mi deseo al escribirlo. Seguiré escribiendo en esta linea práctica 
N	@ToiaMignone busca un tutorial...si no hay es xq no se puede! para mi muy elevada la pregunta
NEU	@Cris_Potterhead de verdad, ya sé que no nos hemos visto en persona, pero q si te quedas más tranquila, yo voy contigo un día de estos 
P	@SlaveofJavier, experto en hacer reencuentros inolvidables since 1994 
P	@cobos_rebeca A ti por responder! Espero y deseo que te salgan nuevos proyectos!! Besitos!! 
N	@D4rkusPl4y ah era hoy? mañana durante el día puede llamarme y con mucho gusto a plena luz del día no en lo oscurito en barrios mierda
P	@AxelMishael es una ciudad hermosa llena de cultura,con gente bella y comida deliciosa. Muero por volver! Disfrutá mucho
N	Aaa que mala suerte tengo
N	Que feo estar sin celular
NEU	@hectorandres8 si, parezco niño que cuando sale a la calle todo quiere, y pues me la paso comiendo (flaco no, en vivo se nota mi panza)
N	esa no me gusta sorry
N	Que día mas agotador.... conferencia laboratorio y clase sin parar y para cerrar el día..... mañana tengo clases full day yeeee!
P	me gustaría q acá hubiese fav y corazón, así podría usar el ️ pura y exclusivamente cuando ponen foto de comida
P	@Yulian_Poe @guillermoterry1 Ah. mucho más por supuesto! solo que lo incluyo. Me habías entendido mal 
P	@Nebirous una de mis favoritas de tu galería, la luz que captaste es muy misteriosa además... me encanta! 
NEU	@avadadobreva ah wno no es que me pase nada es que cuando el Hype está tan alto y se habla tanto tengo la sensación de que ya la he visto 
N	Mi jefe, siendo un inútil en momentos en los que se necesita una segunda opinión desde que ingresé a este lugar
P	El horario me quedo tan perfecto y tengo tan buenas eectativas de los profes que ya quiero entrar a clases. Tan #bichoRaro, lo sé
N	Quiero que vuelva el invierno  y ponerme pantalones largos y chaquetas y sudaderas y abrigos, puto verano.
NEU	@MauFonseca11 @FexCR el otro muchacho que es nieto del señor de las galletitas, siempre tuvo una dulce navidad
N	@LeprosaNoMas Y que sea yo es triste 
N	Lo triste de este trimestre: salgo diario hasta las diez y no estaré con todo el crew.
N	@slcuervo no se valora el potencial del español como lengua informativa en internet, negocio que se le escapa entre los dedos a España. 
P	@David17519416 Pero no hicimos rolas por años, solo ligamos bandas y canciones en común Gracias por escuchar
NEU	@FemiHard_ Hmm no sé qué decirte, mientras no dejes la jaula abierta no pasa nada  Pero se recomienda que salgan un ratito al día +
N	Que enfermería tenemos, Gareth Bale se podría perder el clásico
P	@lghostfive ¿estás bien o estás ahí por alguien más? lo que sea que fuese, espero de todo corazón que no sea nada grave del todo
P	En mi pueblo anda una patrulla de @fuerzapublicaCR recolectando alimentos no perecederos. En mi casa ya donamos #CostaRicaUnida
NEU	Queda claro que yo solo vivo para viajar~ No necesito casas ni propiedades, solo necesito boletos de avión y mi mapita
N	Por quedarme dormida, me perdí el feeling del momento
